elev_ft_ngvd29,elev_ft_navd88,area_km2,volume_kaf
4198.5,4201.98,2010.31,8746.7
4198.6,4202.08,2017.33,8796.5
4198.7,4202.18,2024.24,8846.5
4198.8,4202.28,2031.17,8896.4
4198.9,4202.38,2037.81,8946.7
4199.0,4202.48,2044.09,8997.2
4199.1,4202.58,2049.86,9047.8
4199.2,4202.68,2055.42,9098.6
4199.3,4202.78,2061.04,9149.2
4199.4,4202.88,2066.89,9200.3
4199.5,4202.98,2072.77,9251.5
4199.6,4203.08,2078.74,9302.8
4199.7,4203.18,2084.86,9354.3
4199.8,4203.28,2091.02,9405.7
4199.9,4203.38,2097.58,9457.5
4200.0,4203.48,2179.53,9509.5
4200.1,4203.58,2186.27,9563.5
4200.2,4203.68,2193.19,9617.7
4200.3,4203.78,2200.21,9671.8
4200.4,4203.88,2207.05,9726.3
4200.5,4203.98,2213.76,9780.9
4200.6,4204.08,2220.19,9835.8
4200.7,4204.18,2225.9,9890.8
4200.8,4204.28,2231.38,9945.6
4200.9,4204.38,2236.75,10000.9
4201.0,4204.48,2242.48,10056.3
4201.1,4204.58,2248.43,10111.8
4201.2,4204.68,2254.16,10167.5
4201.3,4204.78,2261.31,10223.1
4201.4,4204.88,2266.64,10279.1
4201.5,4204.98,2271.74,10335.2
4201.6,4205.08,2276.71,10391.4
4201.7,4205.18,2283.23,10447.8
4201.8,4205.28,2288.87,10504.1
4201.9,4205.38,2295.06,10560.8
4202.0,4205.48,2301.25,10617.7
4202.1,4205.58,2307.07,10674.6
4202.2,4205.68,2313.18,10731.8
4202.3,4205.78,2323.6,10788.9
4202.4,4205.88,2328.27,10846.4
4202.5,4205.98,2333.85,10904.1
4202.6,4206.08,2344.37,10961.9
4202.7,4206.18,2361.69,11020.1
4202.8,4206.28,2376.93,11078.4
4202.9,4206.38,2389.36,11137.4
4203.0,4206.48,2400.12,11196.6
4203.1,4206.58,2409.14,11256.1
4203.2,4206.68,2417.27,11315.8
4203.3,4206.78,2425.49,11375.4
4203.4,4206.88,2431.57,11435.4
4203.5,4206.98,2437.07,11495.7
4203.6,4207.08,2442.39,11556.0
4203.7,4207.18,2447.58,11616.5
4203.8,4207.28,2452.62,11676.8
4203.9,4207.38,2457.46,11737.5
4204.0,4207.48,2463.13,11798.4
4204.1,4207.58,2467.66,11859.4
4204.2,4207.68,2473.28,11920.5
4204.3,4207.78,2477.66,11981.4
4204.4,4207.88,2485.41,12042.8
4204.5,4207.98,2489.5,12104.3
4204.6,4208.08,2494.85,12165.9
4204.7,4208.18,2497.73,12227.7
4204.8,4208.28,2500.64,12289.2
4204.9,4208.38,2503.92,12351.1
4205.0,4208.48,2508.0,12413.0
4205.1,4208.58,2510.66,12475.1
4205.2,4208.68,2513.95,12537.3
4205.3,4208.78,2516.65,12599.2
4205.4,4208.88,2519.5,12661.5
4205.5,4208.98,2522.12,12723.8
4205.6,4209.08,2524.68,12786.2
4205.7,4209.18,2527.21,12848.7
4205.8,4209.28,2530.55,12911.0
4205.9,4209.38,2533.05,12973.6
4206.0,4209.48,2535.62,13036.3
4206.1,4209.58,2538.3,13099.0
4206.2,4209.68,2540.81,13161.8
4206.3,4209.78,2543.24,13224.4
4206.4,4209.88,2546.52,13287.3
4206.5,4209.98,2550.16,13350.4
4206.6,4210.08,2553.08,13413.5
4206.7,4210.18,2555.23,13476.7
4206.8,4210.28,2557.31,13539.6
4206.9,4210.38,2559.43,13602.9
4207.0,4210.48,2561.94,13666.2
4207.1,4210.58,2565.2,13729.6
4207.2,4210.68,2568.45,13793.1
4207.3,4210.78,2572.16,13856.4
4207.4,4210.88,2575.9,13920.0
4207.5,4210.98,2577.84,13983.8
4207.6,4211.08,2579.56,14047.6
4207.7,4211.18,2581.1,14111.4
4207.8,4211.28,2582.36,14174.9
4207.9,4211.38,2583.52,14238.8
4208.0,4211.48,2584.58,14302.7
4208.1,4211.58,2585.54,14366.7
4208.2,4211.68,2586.47,14430.6
4208.3,4211.78,2587.87,14494.3
4208.4,4211.88,2588.68,14558.3
4208.5,4211.98,2589.47,14622.4
4208.6,4212.08,2590.29,14686.4
4208.7,4212.18,2591.11,14750.5
4208.8,4212.28,2592.02,14814.3
4208.9,4212.38,2592.79,14878.4
4209.0,4212.48,2593.54,14942.6
4209.1,4212.58,2594.54,15006.7
4209.2,4212.68,2595.35,15070.9
4209.3,4212.78,2596.06,15134.8
4209.4,4212.88,2596.8,15199.0
4209.5,4212.98,2597.44,15263.3
4209.6,4213.08,2598.07,15327.5
4209.7,4213.18,2598.74,15391.8
4209.8,4213.28,2599.41,15455.8
4209.9,4213.38,2600.02,15520.1
4210.0,4213.48,2600.64,15584.4
4210.1,4213.58,2601.43,15648.7
4210.2,4213.68,2602.94,15713.1
4210.3,4213.78,2603.57,15777.2
4210.4,4213.88,2604.35,15841.6
4210.5,4213.98,2604.96,15906.0
4210.6,4214.08,2605.56,15970.4
4210.7,4214.18,2606.23,16034.9
4210.8,4214.28,2607.87,16099.1
4210.9,4214.38,2608.43,16163.6
4211.0,4214.48,2608.97,16228.1
4211.1,4214.58,2609.5,16292.6
4211.2,4214.68,2610.02,16357.2
4211.3,4214.78,2610.77,16421.4
4211.4,4214.88,2611.28,16486.0
4211.5,4214.98,2611.79,16550.6
